system_qubits,bath_qubits,J,h,num_sweeps,p,training_method,single_qubit_gate_noise,two_qubit_gate_noise,initial_state,ground_state_energy,bond_dim,energy,energy_diff,energy_std,truncation_error,combined_std,energy_density_atol,energy_atol,total_time_minutes
8,4,0.4,0.6,2,3,energy,0.0,0.0,zeros,-5.276561938925678,64,-4.275597269624574,1.000964669301104,0.03191102511982956,0.1110011141448641,0.11549701669566857,0.01,0.08,1.714756449063619
8,4,0.4,0.6,2,3,energy,0.0005,0.005,zeros,-5.2765619389256635,32,-3.9201365187713306,1.3564254201543329,0.03341708020815664,inf,inf,0.01,0.08,1.4886538187662761
8,4,0.4,0.6,2,3,energy,0.0005,0.005,zeros,-5.2765619389256635,64,-3.9206484641638224,1.355913474761841,0.033342421421692095,0.03341708020815664,0.04720612583023612,0.01,0.08,1.4886538187662761
4,2,0.4,0.6,7,3,energy,0.0004,0.004,zeros,-2.601556622850568,32,-2.3538285714285716,0.2477280514219964,0.013875018642645525,inf,inf,0.01,0.04,1.169653582572937
4,2,0.4,0.6,7,3,energy,0.0004,0.004,zeros,-2.601556622850568,64,-2.339657142857143,0.2618994799934251,0.013979188034395676,0.013979188034395676,0.019769557309206053,0.01,0.04,1.169653582572937
4,2,0.4,0.6,7,3,energy,0.0009000000000000001,0.009000000000000001,zeros,-2.6015566228505644,32,-2.1511314285714285,0.45042519427913597,0.01524079298155028,inf,inf,0.01,0.04,1.264904300371806
4,2,0.4,0.6,7,3,energy,0.0009000000000000001,0.009000000000000001,zeros,-2.6015566228505644,64,-2.1804799999999998,0.4210766228505647,0.015048407411295274,0.020064952244527066,0.025081006243599522,0.01,0.04,1.264904300371806
4,2,0.4,0.6,5,3,energy,0.0,0.0,zeros,-2.6015566228505627,32,-2.454674285714286,0.14688233713627685,0.013160551477523137,inf,inf,0.01,0.04,0.8100528120994568
4,2,0.4,0.6,5,3,energy,0.0,0.0,zeros,-2.6015566228505627,64,-2.448,0.1535566228505627,0.013189171375594846,0.013189171375594846,0.018652305035829243,0.01,0.04,0.8100528120994568
4,2,0.4,0.6,5,3,energy,0.00030000000000000003,0.0030000000000000005,zeros,-2.6015566228505627,32,-2.345142857142857,0.25641376570770547,0.013933073619638359,inf,inf,0.01,0.04,0.8262232263882955
4,2,0.4,0.6,5,3,energy,0.00030000000000000003,0.0030000000000000005,zeros,-2.6015566228505627,64,-2.3341714285714286,0.2673851942791341,0.014022462717071556,0.014022462717071556,0.019830756952353677,0.01,0.04,0.8262232263882955
4,2,0.4,0.6,5,3,energy,0.0008,0.008,zeros,-2.6015566228505596,32,-2.1752685714285716,0.426288051421988,0.015179373109800371,inf,inf,0.01,0.04,0.8213937401771545
4,2,0.4,0.6,5,3,energy,0.0008,0.008,zeros,-2.6015566228505596,64,-2.1738971428571428,0.4276594799934168,0.01513997261952995,0.015179373109800371,0.021439033068836086,0.01,0.04,0.8213937401771545
4,2,0.4,0.6,6,3,energy,0.0001,0.001,zeros,-2.6015566228505573,32,-2.454765714285714,0.14679090856484311,0.012942570480404316,inf,inf,0.01,0.04,0.9735164483388264
4,2,0.4,0.6,6,3,energy,0.0001,0.001,zeros,-2.6015566228505573,64,-2.4790857142857146,0.12247090856484277,0.012916735393164413,0.016034656720452647,0.020590101246953194,0.01,0.04,0.9735164483388264
4,2,0.4,0.6,5,3,energy,0.0005,0.005,zeros,-2.601556622850567,32,-2.2938514285714287,0.30770519427913845,0.014346878538093997,inf,inf,0.01,0.04,0.8407700101534525
4,2,0.4,0.6,5,3,energy,0.0005,0.005,zeros,-2.601556622850567,64,-2.277942857142857,0.32361376570771005,0.014442515750259765,0.014442515750259765,0.020424801648804395,0.01,0.04,0.8407700101534525
4,2,0.4,0.6,5,3,energy,0.001,0.01,zeros,-2.6015566228505653,32,-2.1183085714285714,0.4832480514219939,0.015505971132735054,inf,inf,0.01,0.04,0.8525832056999206
4,2,0.4,0.6,5,3,energy,0.001,0.01,zeros,-2.6015566228505653,64,-2.102765714285714,0.4987909085648514,0.01555041348324673,0.01555041348324673,0.021991605648516967,0.01,0.04,0.8525832056999206
4,2,0.4,0.6,6,3,energy,0.0006000000000000001,0.006000000000000001,zeros,-2.601556622850563,32,-2.263862857142857,0.33769376570770593,0.014519868184609172,inf,inf,0.01,0.04,1.0787660280863445
4,2,0.4,0.6,6,3,energy,0.0006000000000000001,0.006000000000000001,zeros,-2.601556622850563,64,-2.238445714285714,0.36311090856484896,0.014592635043211802,0.014908372862845161,0.02086155744238649,0.01,0.04,1.0787660280863445
8,4,0.4,0.6,2,3,energy,0.0007000000000000001,0.007000000000000001,zeros,-5.276561938925678,32,-3.819283276450512,1.457278662475166,0.03392960248692458,inf,inf,0.01,0.08,1.430876878897349
8,4,0.4,0.6,2,3,energy,0.0007000000000000001,0.007000000000000001,zeros,-5.276561938925678,64,-3.930887372013652,1.3456745669120256,0.0334196157944571,0.10093257899061488,0.10632147582471681,0.01,0.08,1.430876878897349
8,4,0.4,0.6,2,3,energy,0.0002,0.002,zeros,-5.276561938925688,32,-4.079692832764505,1.1968691061611834,0.03271918224366651,inf,inf,0.01,0.08,1.4737934708595275
8,4,0.4,0.6,2,3,energy,0.0002,0.002,zeros,-5.276561938925688,64,-4.025085324232082,1.2514766146936065,0.03282764440525768,0.03282764440525768,0.04642529993867666,0.01,0.08,1.4737934708595275
4,2,0.4,0.6,6,3,energy,0.0,0.0,zeros,-2.6015566228505675,32,-2.493257142857143,0.10829947999342471,0.012795520634297789,inf,inf,0.01,0.04,0.9731708606084187
4,2,0.4,0.6,6,3,energy,0.0,0.0,zeros,-2.6015566228505675,64,-2.4855771428571427,0.11597947999342484,0.012838178416767623,0.012838178416767623,0.018155926033158323,0.01,0.04,0.9731708606084187
4,2,0.4,0.6,6,3,energy,0.00030000000000000003,0.0030000000000000005,zeros,-2.6015566228505675,32,-2.3828114285714284,0.2187451942791392,0.013752015930331991,inf,inf,0.01,0.04,0.9898273865381877
4,2,0.4,0.6,6,3,energy,0.00030000000000000003,0.0030000000000000005,zeros,-2.6015566228505675,64,-2.3402971428571426,0.2612594799934249,0.013911858091105421,0.03774661245861354,0.04022867817425542,0.01,0.04,0.9898273865381877
4,2,0.4,0.6,6,3,energy,0.0008,0.008,zeros,-2.6015566228505658,32,-2.217142857142857,0.3844137657077087,0.014879748327537178,inf,inf,0.01,0.04,0.9872408866882324
4,2,0.4,0.6,6,3,energy,0.0008,0.008,zeros,-2.6015566228505658,64,-2.1845942857142857,0.41696233713628006,0.015054282610788233,0.02472592094997649,0.028948274417484147,0.01,0.04,0.9872408866882324
8,4,0.4,0.6,3,3,energy,0.0008,0.008,zeros,-5.27656193892563,32,-4.158873720136519,1.1176882187891106,0.03221699278239773,inf,inf,0.01,0.08,3.388541038831075
8,4,0.4,0.6,3,3,energy,0.0008,0.008,zeros,-5.27656193892563,64,-4.169624573378839,1.1069373655467905,0.03222457033386767,0.03222457033386767,0.045572424407801355,0.01,0.08,3.388541038831075
8,4,0.4,0.6,3,3,energy,0.00030000000000000003,0.0030000000000000005,zeros,-5.276561938925674,32,-4.501877133105801,0.7746848058198728,0.030245086789839677,inf,inf,0.01,0.08,3.4073675672213235
8,4,0.4,0.6,3,3,energy,0.00030000000000000003,0.0030000000000000005,zeros,-5.276561938925674,64,-4.532935153583617,0.7436267853420571,0.030288398768617927,0.030288398768617927,0.042834264321144025,0.01,0.08,3.4073675672213235
4,2,0.4,0.6,8,3,energy,0.0004,0.004,zeros,-2.6015566228505653,32,-2.3200914285714287,0.28146519427913663,0.01408546429881243,inf,inf,0.01,0.04,1.336903969446818
4,2,0.4,0.6,8,3,energy,0.0004,0.004,zeros,-2.6015566228505653,64,-2.3512685714285713,0.25028805142199406,0.013910778959855943,0.024085351584554163,0.027813916161187308,0.01,0.04,1.336903969446818
8,4,0.4,0.6,0,3,energy,0.0004,0.004,zeros,-5.2765619389256955,32,-2.769795221843003,2.5067667170826926,0.03504087770830425,inf,inf,0.01,0.08,0.012275107701619466
8,4,0.4,0.6,0,3,energy,0.0004,0.004,zeros,-5.2765619389256955,64,-2.7744027303754257,2.5021592085502697,0.03504796560028853,0.03504796560028853,0.049565308285513726,0.01,0.08,0.012275107701619466
4,2,0.4,0.6,6,3,energy,0.0005,0.005,zeros,-2.601556622850568,32,-2.3126857142857142,0.28887090856485376,0.014168515838123634,inf,inf,0.01,0.04,1.0039927005767821
4,2,0.4,0.6,6,3,energy,0.0005,0.005,zeros,-2.601556622850568,64,-2.2744685714285713,0.3270880514219967,0.014364607259084916,0.032457067418366015,0.03549370602104142,0.01,0.04,1.0039927005767821
4,2,0.4,0.6,6,3,energy,0.001,0.01,zeros,-2.601556622850566,32,-2.1327542857142854,0.46880233713628083,0.015439953866061984,inf,inf,0.01,0.04,1.022122617562612
4,2,0.4,0.6,6,3,energy,0.001,0.01,zeros,-2.601556622850566,64,-2.143725714285714,0.4578309085648522,0.015355693172681189,0.015439953866061984,0.021775892362878038,0.01,0.04,1.022122617562612
4,2,0.4,0.6,7,3,energy,0.0001,0.001,zeros,-2.601556622850562,32,-2.467382857142857,0.13417376570770534,0.012993157663742436,inf,inf,0.01,0.04,1.1342068513234456
4,2,0.4,0.6,7,3,energy,0.0001,0.001,zeros,-2.601556622850562,64,-2.445897142857143,0.15565947999341923,0.013116742153437597,0.013116742153437597,0.018549874647542326,0.01,0.04,1.1342068513234456
4,2,0.4,0.6,8,3,energy,0.0009000000000000001,0.009000000000000001,zeros,-2.6015566228505635,32,-2.157531428571428,0.44402519427913534,0.015203489688224268,inf,inf,0.01,0.04,1.4414472977320354
4,2,0.4,0.6,8,3,energy,0.0009000000000000001,0.009000000000000001,zeros,-2.6015566228505635,64,-2.1844114285714284,0.4171451942791351,0.01508218864132385,0.016245488207117475,0.022167279970715197,0.01,0.04,1.4414472977320354
